word,recall_probability,count,recalls,avg_frequency,need_odds,valence,arousal
little,0.011695906432748537,171,2,1.8830409356725146,0.011834319526627219,5.9,3.89
businessmen,0.011627906976744186,86,1,1.313953488372093,0.011764705882352941,5.45,3.48
deskpro,0.011627906976744186,86,1,2.511627906976744,0.011764705882352941,,
anheuser,0.011583011583011582,259,3,1.7876447876447876,0.011718749999999998,,
baht,0.011560693641618497,173,2,2.0289017341040463,0.011695906432748537,,
busch,0.011538461538461539,260,3,1.7846153846153847,0.011673151750972763,,
takeovers,0.011538461538461539,260,3,1.7153846153846153,0.011673151750972763,3.5,5.21
canion,0.011494252873563218,87,1,1.2988505747126438,0.011627906976744186,,
tin,0.011450381679389313,262,3,1.984732824427481,0.011583011583011582,5.05,2.47
year,0.011412268188302425,2804,32,1.703281027104137,0.011544011544011544,5.61,3.26
exchange,0.011351909184726523,969,11,2.152734778121775,0.011482254697286013,5.9,4.6
talks,0.011220196353436185,713,8,1.6661991584852736,0.011347517730496453,6.6,3.26
non,0.011111111111111112,90,1,1.4111111111111112,0.011235955056179775,,
komatsu,0.011111111111111112,90,1,3.033333333333333,0.011235955056179775,,
diaz,0.011111111111111112,180,2,2.0833333333333335,0.011235955056179775,,
board,0.011090573012939002,541,6,2.134935304990758,0.011214953271028038,5.38,3.5
buying,0.01107011070110701,271,3,1.896678966789668,0.011194029850746268,6.8,4.53
plant,0.011049723756906077,362,4,2.196132596685083,0.011173184357541898,7.05,3.63
external,0.01098901098901099,91,1,1.164835164835165,0.011111111111111112,5.25,2.89
approvals,0.01098901098901099,91,1,1.989010989010989,0.011111111111111112,7.17,3.94
tender,0.01092896174863388,366,4,1.8989071038251366,0.011049723756906077,6.63,3.11
approximately,0.010869565217391304,92,1,1.3804347826086956,0.01098901098901099,,
policy,0.01079136690647482,278,3,1.3633093525179856,0.01090909090909091,3.95,3.3
paperboard,0.010752688172043012,93,1,1.7634408602150538,0.010869565217391306,,
payment,0.010638297872340425,94,1,1.297872340425532,0.01075268817204301,5.16,4.35
buttrose,0.010582010582010581,189,2,1.9259259259259258,0.0106951871657754,,
guaranteed,0.010526315789473684,95,1,1.4947368421052631,0.010638297872340425,6.17,3.47
farm,0.010416666666666666,192,2,2.4322916666666665,0.010526315789473684,6.26,3.2
crops,0.010362694300518135,193,2,1.4870466321243523,0.010471204188481676,5.89,2.94
inflation,0.010238907849829351,293,3,1.2252559726962458,0.010344827586206896,3.1,4.55
malaysia,0.01020408163265306,294,3,2.0408163265306123,0.010309278350515464,,
rupiah,0.01020408163265306,98,1,1.7653061224489797,0.010309278350515464,,
countries,0.010135135135135136,296,3,1.4662162162162162,0.010238907849829351,6.2,3.58
weakness,0.010101010101010102,99,1,1.3232323232323233,0.010204081632653062,3.0,4.35
supply,0.010050251256281407,398,4,1.5,0.010152284263959392,5.11,3.41
fundamental,0.01,100,1,1.33,0.010101010101010102,4.95,3.35
independent,0.01,100,1,1.85,0.010101010101010102,6.75,6.53
takeover,0.01,300,3,1.77,0.010101010101010102,3.5,5.21
japanese,0.009990917347865577,1101,11,1.810172570390554,0.010091743119266056,,
oy,0.009950248756218905,201,2,1.4328358208955223,0.010050251256281407,,
legislation,0.009900990099009901,303,3,1.6171617161716172,0.01,3.63,4.11
sec,0.009868421052631578,304,3,1.756578947368421,0.009966777408637873,4.74,2.95
mead,0.009852216748768473,203,2,2.4679802955665027,0.009950248756218905,,
quarter,0.009814612868047983,917,9,2.052344601962923,0.009911894273127754,5.39,3.89
ringgit,0.00980392156862745,102,1,1.9411764705882353,0.009900990099009901,,
cpo,0.009771986970684038,307,3,1.8013029315960911,0.009868421052631578,,
drain,0.009708737864077669,103,1,1.8058252427184467,0.00980392156862745,3.8,2.94
replacing,0.009708737864077669,103,1,1.8640776699029127,0.00980392156862745,5.56,3.35
supervisory,0.009708737864077669,103,1,2.320388349514563,0.00980392156862745,,
roberts,0.009708737864077669,103,1,1.4660194174757282,0.00980392156862745,,
dispute,0.009708737864077669,412,4,1.6990291262135921,0.00980392156862745,2.6,4.37
trading,0.009673518742442563,827,8,1.7750906892382103,0.009768009768009768,,
tonnes,0.009671179883945842,1034,10,1.793036750483559,0.009765625,,
profit,0.009554140127388535,942,9,1.575371549893843,0.009646302250803858,6.9,5.25
management,0.009523809523809525,105,1,1.7428571428571429,0.009615384615384616,4.85,3.2
showed,0.009345794392523364,214,2,1.2476635514018692,0.009433962264150943,6.1,4.16
vw,0.009345794392523364,107,1,2.7196261682242993,0.009433962264150943,,
hawaiian,0.009345794392523364,107,1,2.364485981308411,0.009433962264150943,,
bail,0.009259259259259259,108,1,1.7037037037037037,0.009345794392523364,3.79,4.05
edmonton,0.009216589861751152,217,2,1.368663594470046,0.009302325581395349,,
investors,0.009202453987730062,326,3,1.6503067484662577,0.009287925696594427,5.42,3.76
insurance,0.009174311926605505,109,1,1.7889908256880733,0.009259259259259259,3.58,3.8
n,0.009174311926605505,327,3,1.2446483180428134,0.009259259259259259,,
services,0.009157509157509158,546,5,1.271062271062271,0.009242144177449169,6.5,2.95
versus,0.00909090909090909,110,1,1.2181818181818183,0.009174311926605503,,
diw,0.00909090909090909,110,1,1.9272727272727272,0.009174311926605503,,
entered,0.00909090909090909,110,1,1.709090909090909,0.009174311926605503,6.0,4.14
company,0.009053870529651425,2209,20,1.8370303304662743,0.009136592051164915,5.45,3.26
vermin,0.009009009009009009,111,1,1.8198198198198199,0.00909090909090909,2.55,5.45
nuclear,0.009009009009009009,111,1,1.936936936936937,0.00909090909090909,4.3,7.0
chemical,0.009009009009009009,111,1,1.7567567567567568,0.00909090909090909,4.89,3.35
imports,0.008995502248875561,667,6,1.7451274362818592,0.009077155824508321,5.06,4.11
ways,0.008928571428571428,112,1,1.1517857142857142,0.009009009009009009,5.95,2.79
south,0.008862629246676515,677,6,1.6277695716395864,0.00894187779433681,5.94,3.4
produce,0.008849557522123894,113,1,1.823008849557522,0.008928571428571428,7.0,3.33
requirement,0.008771929824561403,228,2,1.6491228070175439,0.008849557522123894,5.05,3.76
strong,0.008695652173913044,345,3,1.4463768115942028,0.008771929824561403,6.8,5.39
oslo,0.008695652173913044,115,1,1.6521739130434783,0.008771929824561403,,
billion,0.008681497558328812,1843,16,1.8638090070537168,0.00875752599890531,6.8,5.11
australian,0.008610086100861008,813,7,1.5276752767527675,0.0086848635235732,,
loan,0.008583690987124463,233,2,1.4206008583690988,0.008658008658008658,4.25,3.21
yemen,0.008547008547008548,117,1,1.9487179487179487,0.008620689655172414,,
encourage,0.008547008547008548,117,1,1.7863247863247864,0.008620689655172414,7.16,4.35
qtr,0.008486562942008486,707,6,1.5516265912305516,0.008559201141226819,,
site,0.00847457627118644,118,1,1.728813559322034,0.008547008547008546,5.16,3.47
traded,0.00847457627118644,118,1,1.8559322033898304,0.008547008547008546,6.0,4.45
faced,0.00847457627118644,118,1,1.228813559322034,0.008547008547008546,6.45,4.56
brazil,0.00847457627118644,236,2,1.5381355932203389,0.008547008547008546,,
shareholders,0.008445945945945946,592,5,1.7212837837837838,0.008517887563884156,4.5,3.0
microchip,0.008403361344537815,119,1,1.7058823529411764,0.00847457627118644,5.68,3.6
keswick,0.008333333333333333,120,1,1.7,0.008403361344537815,,
employment,0.008333333333333333,120,1,1.7416666666666667,0.008403361344537815,5.95,5.1
german,0.008287292817679558,362,3,1.5276243093922652,0.008356545961002786,,
nainggolan,0.008264462809917356,242,2,1.3181818181818181,0.008333333333333333,,
trend,0.008264462809917356,121,1,1.4049586776859504,0.008333333333333333,5.5,4.39
revise,0.00819672131147541,122,1,1.819672131147541,0.008264462809917356,5.37,3.31
department,0.00819672131147541,244,2,1.6147540983606556,0.008264462809917356,5.24,2.53
corp,0.008168822328114363,1469,12,1.5459496255956433,0.008236101578586135,,
exports,0.00813953488372093,860,7,1.4848837209302326,0.0082063305978898,4.95,3.65
see,0.008130081300813009,123,1,1.8699186991869918,0.00819672131147541,6.2,3.79
franc,0.008130081300813009,123,1,1.829268292682927,0.00819672131147541,5.44,3.9
waste,0.008130081300813009,123,1,1.8130081300813008,0.00819672131147541,2.41,4.38
entourage,0.008130081300813009,123,1,2.2764227642276422,0.00819672131147541,4.9,4.06
mills,0.008130081300813009,246,2,1.4593495934959348,0.00819672131147541,,
canada,0.008130081300813009,369,3,1.5636856368563685,0.00819672131147541,,
preservation,0.008130081300813009,123,1,1.8048780487804879,0.00819672131147541,6.68,4.47
w,0.008064516129032258,124,1,2.467741935483871,0.008130081300813007,,
storage,0.008064516129032258,124,1,1.7903225806451613,0.008130081300813007,4.95,3.6
thai,0.008064516129032258,124,1,1.0483870967741935,0.008130081300813007,,
development,0.008021390374331552,374,3,1.36096256684492,0.008086253369272238,5.25,4.11
plants,0.008,125,1,1.8,0.008064516129032258,7.05,3.63
cuts,0.008,125,1,1.744,0.008064516129032258,3.82,5.5
threshold,0.008,125,1,1.752,0.008064516129032258,5.3,2.89
similar,0.008,125,1,1.4,0.008064516129032258,5.86,3.35
unfavourable,0.008,125,1,1.824,0.008064516129032258,,
bd,0.008,125,1,1.856,0.008064516129032258,,
white,0.00796812749003984,251,2,1.5776892430278884,0.008032128514056224,6.18,3.26
enforced,0.007936507936507936,126,1,1.8095238095238095,0.008,5.56,5.58
offered,0.007936507936507936,126,1,1.8412698412698412,0.008,5.94,3.42
uk,0.007936507936507936,126,1,1.8650793650793651,0.008,,
banks,0.00784313725490196,510,4,1.4725490196078432,0.007905138339920948,6.12,3.95
loss,0.0078125,640,5,1.75625,0.007874015748031496,2.47,5.2
goods,0.0078125,128,1,1.75,0.007874015748031496,8.0,4.08
natural,0.007722007722007722,259,2,1.6756756756756757,0.007782101167315175,6.54,3.5
business,0.007722007722007722,518,4,1.886100386100386,0.007782101167315175,5.53,3.89
consortium,0.007692307692307693,130,1,1.5461538461538462,0.007751937984496124,,
political,0.007662835249042145,261,2,1.103448275862069,0.007722007722007721,4.35,4.18
data,0.007662835249042145,261,2,1.5134099616858236,0.007722007722007721,,
amended,0.007633587786259542,131,1,1.3587786259541985,0.007692307692307692,5.85,2.94
citibank,0.007633587786259542,131,1,2.786259541984733,0.007692307692307692,,
ratio,0.007633587786259542,131,1,1.702290076335878,0.007692307692307692,4.68,3.18
canadian,0.007575757575757576,264,2,2.1931818181818183,0.0076335877862595426,,
sanctions,0.007575757575757576,264,2,1.518939393939394,0.0076335877862595426,4.3,4.26
investor,0.007575757575757576,132,1,1.6742424242424243,0.0076335877862595426,5.42,3.76
reduced,0.007518796992481203,133,1,1.3533834586466165,0.007575757575757576,5.1,3.6
agricultural,0.007518796992481203,133,1,1.368421052631579,0.007575757575757576,5.32,3.35
prospectus,0.007462686567164179,134,1,1.462686567164179,0.0075187969924812035,5.74,3.0
withdraw,0.007462686567164179,134,1,1.5522388059701493,0.0075187969924812035,4.11,3.84
lead,0.007462686567164179,536,4,1.6585820895522387,0.0075187969924812035,5.71,3.89
fairer,0.007407407407407408,135,1,1.6074074074074074,0.00746268656716418,7.1,3.42
closure,0.007407407407407408,135,1,1.637037037037037,0.00746268656716418,5.21,2.89
crowns,0.007407407407407408,135,1,1.6592592592592592,0.00746268656716418,6.05,4.5
agency,0.007407407407407408,135,1,1.1703703703703703,0.00746268656716418,5.15,2.89
action,0.007380073800738007,271,2,1.5904059040590406,0.007434944237918215,6.12,6.15
insider,0.007352941176470588,136,1,1.5955882352941178,0.007407407407407407,4.3,4.5
electrolysis,0.007352941176470588,136,1,1.625,0.007407407407407407,,
disclosure,0.007352941176470588,136,1,1.5955882352941178,0.007407407407407407,4.85,3.11
members,0.007352941176470588,136,1,1.4411764705882353,0.007407407407407407,6.3,3.47
marks,0.007326007326007326,273,2,1.9267399267399268,0.007380073800738007,,
bank,0.007311129163281885,1231,9,1.7579203899268887,0.007364975450081834,6.12,3.95
coconut,0.0072992700729927005,137,1,1.4744525547445255,0.007352941176470588,6.55,4.5
booming,0.0072992700729927005,137,1,1.7226277372262773,0.007352941176470588,,
april,0.007291666666666667,960,7,1.2489583333333334,0.007345225603357818,,
virtually,0.007246376811594203,138,1,1.4565217391304348,0.007299270072992701,,
industries,0.007194244604316547,278,2,1.5467625899280575,0.007246376811594203,5.08,4.15
hostile,0.007194244604316547,139,1,1.525179856115108,0.007246376811594203,2.35,5.47
owned,0.007194244604316547,278,2,1.3920863309352518,0.007246376811594203,,
information,0.007194244604316547,139,1,1.1151079136690647,0.007246376811594203,6.65,2.26
sejerstad,0.007142857142857143,140,1,1.3928571428571428,0.007194244604316546,,
record,0.0071090047393364926,422,3,1.0450236966824644,0.007159904534606205,6.0,3.32
service,0.0070921985815602835,141,1,1.3829787234042554,0.007142857142857143,6.5,2.95
demand,0.007009345794392523,856,6,1.6133177570093458,0.007058823529411764,4.05,5.74
reserve,0.007009345794392523,428,3,1.5514018691588785,0.007058823529411764,6.15,3.94
move,0.006993006993006993,143,1,1.7062937062937062,0.007042253521126761,5.16,4.16
last,0.006986027944111776,2004,14,1.4231536926147705,0.007035175879396984,,
oper,0.006944444444444444,144,1,1.8680555555555556,0.006993006993006992,,
stagnated,0.006896551724137931,145,1,1.4,0.006944444444444444,,
rate,0.006896551724137931,145,1,1.1379310344827587,0.006944444444444444,5.58,3.75
federal,0.00684931506849315,146,1,1.5273972602739727,0.006896551724137931,3.21,4.58
mainichi,0.006802721088435374,147,1,1.4965986394557824,0.00684931506849315,,
computer,0.006756756756756757,148,1,1.0135135135135136,0.006802721088435375,7.11,4.74
average,0.006756756756756757,148,1,1.2297297297297298,0.006802721088435375,4.89,3.44
petition,0.006666666666666667,150,1,1.5,0.006711409395973155,4.95,3.21
significantly,0.006666666666666667,150,1,1.3533333333333333,0.006711409395973155,,
reserves,0.006622516556291391,151,1,1.5231788079470199,0.006666666666666667,6.15,3.94
zinc,0.006622516556291391,151,1,1.033112582781457,0.006666666666666667,4.79,3.53
acquisition,0.006600660066006601,303,2,1.4422442244224423,0.006644518272425249,5.0,4.55
around,0.006595218466611707,1213,8,1.3239901071723001,0.006639004149377593,,
output,0.006578947368421052,760,5,1.4473684210526316,0.00662251655629139,4.85,3.65
co,0.006557377049180328,610,4,1.4704918032786884,0.006600660066006601,,
officials,0.00655307994757536,763,5,1.2896461336828309,0.0065963060686015824,5.79,3.83
owns,0.006535947712418301,153,1,1.6339869281045751,0.006578947368421052,,
analysts,0.006535947712418301,612,4,1.522875816993464,0.006578947368421052,5.0,3.06
negotiations,0.006493506493506494,308,2,1.4772727272727273,0.006535947712418301,5.89,4.75
problems,0.006493506493506494,154,1,1.4350649350649352,0.006535947712418301,3.21,4.79
beef,0.006430868167202572,311,2,1.954983922829582,0.006472491909385114,6.11,4.11
announcement,0.00641025641025641,156,1,1.5320512820512822,0.0064516129032258064,5.85,4.32
bankers,0.006389776357827476,626,4,1.6182108626198084,0.006430868167202572,4.89,3.33
workers,0.006369426751592357,314,2,1.535031847133758,0.006410256410256411,6.05,3.68
trust,0.006349206349206349,315,2,1.853968253968254,0.006389776357827476,7.38,4.37
coming,0.006329113924050633,158,1,1.0696202531645569,0.006369426751592357,5.65,3.53
downturn,0.00625,160,1,1.56875,0.006289308176100629,,
subsidiaries,0.006211180124223602,161,1,1.3850931677018634,0.0062499999999999995,4.8,3.45
armacost,0.006172839506172839,162,1,1.4506172839506173,0.006211180124223602,,
scheduled,0.006134969325153374,163,1,1.3987730061349692,0.006172839506172839,4.63,3.35
buyer,0.006060606060606061,165,1,1.490909090909091,0.006097560975609756,5.9,3.9
suits,0.006060606060606061,165,1,1.3515151515151516,0.006097560975609756,5.71,3.0
private,0.006024096385542169,166,1,1.3493975903614457,0.006060606060606061,5.59,3.45
thailand,0.005988023952095809,167,1,1.526946107784431,0.006024096385542169,,
operations,0.005988023952095809,334,2,1.467065868263473,0.006024096385542169,2.83,5.9
statement,0.005877413937867338,1191,7,1.3560033585222502,0.005912162162162162,5.4,3.7
dividend,0.005870841487279843,511,3,1.9823874755381605,0.005905511811023622,,
improved,0.005865102639296188,341,2,1.4633431085043989,0.0058997050147492625,6.17,4.69
ltd,0.005852842809364548,1196,7,1.657190635451505,0.0058873002523128675,,
britain,0.005847953216374269,342,2,1.4415204678362572,0.00588235294117647,,
pre,0.005813953488372093,172,1,1.563953488372093,0.005847953216374269,,
paper,0.005797101449275362,345,2,1.3478260869565217,0.0058309037900874635,5.42,2.74
rationalisation,0.005747126436781609,174,1,1.235632183908046,0.005780346820809249,,
agreement,0.0056657223796034,706,4,1.2138810198300283,0.005698005698005698,6.84,4.06
today,0.005660377358490566,1060,6,1.4037735849056603,0.0056925996204933585,,
