word,frequency,positions
pay,32,"[1661, 1682, 2675, 2823, 2900, 6035, 10253, 10963, 14296, 14942, 14963, 18267, 18733, 20065, 23803, 23827, 26891, 30970, 30998, 31024, 31051, 31076, 31102, 31799, 32661, 38440, 40232, 40974, 42841, 43278, 44844, 47413]"
canada,31,"[4347, 5746, 5797, 5849, 5938, 8002, 17364, 21923, 21968, 28266, 28273, 28287, 28297, 28308, 28319, 28336, 28459, 28611, 32553, 37013, 37023, 37320, 38516, 38528, 39231, 39236, 42172, 42179, 42254, 42422, 49045]"
securities,31,"[2733, 2802, 2958, 2967, 3032, 3063, 3075, 3100, 3123, 3449, 3494, 6644, 10660, 11009, 11876, 15844, 16518, 21690, 23512, 24973, 25361, 25412, 25534, 30984, 39871, 41881, 42950, 43815, 44732, 46802, 48709]"
six,31,"[3593, 6507, 6544, 17436, 18238, 19698, 19748, 25696, 27337, 27712, 27748, 28038, 28089, 31194, 31550, 32212, 32303, 32313, 32732, 32825, 32862, 32872, 34948, 35099, 35138, 35141, 38464, 39131, 40267, 43605, 43937]"
official,31,"[327, 438, 2054, 4238, 4261, 4717, 4762, 5113, 7085, 8061, 9559, 10344, 10815, 11028, 11201, 14748, 20123, 20859, 21091, 27818, 30210, 31816, 32319, 32329, 34039, 35294, 35362, 38355, 44122, 44126, 48160]"
american,31,"[79, 2169, 2809, 9854, 9866, 10548, 13970, 22910, 24203, 29184, 29426, 29762, 29815, 30750, 36838, 37031, 37517, 37531, 38104, 38247, 41021, 41039, 41468, 41584, 41641, 42428, 46643, 46652, 46733, 46774, 46816]"
states,30,"[2170, 5667, 5896, 6998, 7038, 7930, 8087, 8714, 12334, 13559, 13896, 17463, 17625, 19447, 25985, 29609, 32412, 32578, 33797, 35358, 35657, 40285, 40354, 40438, 40511, 40569, 41834, 45625, 45745, 48968]"
take,30,"[5117, 6218, 7024, 7203, 8423, 8519, 10518, 11319, 13193, 20324, 21977, 28962, 29633, 30108, 30135, 33742, 34341, 34351, 34361, 36015, 36438, 37786, 39933, 40699, 41786, 43274, 45616, 47247, 48120, 48984]"
chemical,29,"[13355, 13364, 14307, 14338, 22493, 22516, 22584, 22625, 22727, 22771, 22798, 22825, 22869, 22925, 22946, 22969, 23073, 23082, 23157, 23193, 23247, 23293, 23337, 23377, 23406, 37756, 41442, 43383, 46665]"
time,29,"[240, 1771, 2842, 2903, 3237, 5280, 5515, 9474, 10520, 13831, 16652, 17442, 21382, 21596, 22908, 26709, 29635, 37370, 37787, 38188, 38276, 38850, 38987, 39733, 40677, 42385, 44994, 46080, 47248]"
officials,29,"[46, 292, 1073, 1162, 2032, 2175, 2286, 4215, 4561, 5426, 10585, 10708, 10835, 13908, 21461, 21471, 21496, 21570, 29179, 29337, 29395, 30124, 32356, 34275, 37336, 37413, 42374, 45572, 45923]"
production,29,"[1019, 2476, 4155, 5708, 9246, 10891, 13116, 13245, 14153, 20458, 20661, 20781, 26018, 26035, 26067, 31606, 32493, 34057, 34092, 35492, 35619, 35643, 36658, 39122, 39144, 39178, 40311, 40466, 43721]"
rose,29,"[1283, 4069, 5315, 5433, 5453, 6479, 8653, 10235, 13380, 21235, 21283, 21412, 24239, 24418, 25481, 25518, 25762, 26228, 28436, 29008, 29053, 29076, 31270, 44266, 44307, 44330, 47639, 47676, 47705]"
central,29,"[1599, 3463, 3857, 3964, 11450, 11645, 12605, 12640, 16008, 17200, 21523, 21542, 21554, 34011, 34845, 35244, 37237, 37313, 46944, 46954, 47001, 47409, 47553, 47567, 47609, 49060, 49727, 49783, 49967]"
trading,28,"[725, 1844, 1874, 1889, 1988, 2047, 2186, 2200, 2238, 4981, 4992, 5661, 6731, 9027, 10118, 11458, 16413, 16460, 17467, 24993, 25249, 25364, 25394, 25407, 25446, 25479, 26782, 41232]"
world,28,"[159, 377, 1529, 2091, 3802, 4029, 9750, 10178, 13226, 17453, 22605, 24652, 24675, 24813, 24850, 24883, 24924, 29292, 31158, 37718, 40310, 40465, 41765, 45593, 45821, 48107, 48407, 48957]"
financial,28,"[826, 2536, 2663, 2780, 9200, 12026, 13062, 14452, 16343, 22378, 23669, 23765, 23776, 23910, 26171, 26271, 36435, 36755, 37234, 43868, 44362, 44514, 45291, 45767, 47394, 48802, 48845, 49733]"
agriculture,28,"[2295, 4191, 4307, 4385, 4580, 4703, 20281, 25894, 32376, 32386, 32512, 32544, 32584, 34000, 35334, 35384, 37526, 37591, 37686, 39524, 39641, 40304, 40459, 41053, 44083, 44120, 47915, 47976]"
gas,28,"[1186, 1229, 9341, 18478, 35530, 35631, 35777, 37148, 37227, 42775, 42790, 42799, 42823, 42855, 42864, 42877, 42889, 43201, 43205, 43236, 43268, 43306, 43332, 47770, 47802, 47836, 47875, 47883]"
years,27,"[2617, 2935, 3191, 5374, 6564, 8717, 9156, 9278, 9385, 9968, 10898, 21223, 23149, 23416, 28333, 31128, 33823, 35430, 35718, 37487, 37848, 42369, 44773, 46512, 47576, 48122, 49220]"
tax,27,"[4958, 13602, 13632, 16991, 17586, 23617, 23634, 23650, 24387, 24613, 24626, 26555, 26825, 27763, 28246, 30796, 30887, 30905, 31006, 31033, 31059, 31086, 32876, 43299, 49620, 49683, 49701]"
month,27,"[1555, 3597, 3693, 4220, 7754, 7788, 8033, 8042, 14470, 16005, 16230, 16855, 21238, 21290, 21321, 21346, 22080, 23251, 24746, 31163, 32034, 35909, 41509, 44478, 46503, 46546, 48002]"
board,27,"[2040, 2850, 11897, 11927, 11933, 12034, 12136, 14069, 16686, 17720, 17771, 19189, 19264, 19276, 19301, 19306, 22212, 27250, 27256, 31507, 36503, 36681, 39997, 45450, 45800, 46948, 49756]"
investment,27,"[2810, 2990, 5233, 5980, 6595, 7728, 8068, 8280, 8479, 8784, 8790, 9284, 9455, 11797, 11831, 14144, 14324, 16334, 23255, 25533, 26383, 28272, 32296, 32875, 35948, 47395, 49644]"
prior,27,"[4467, 14295, 18732, 19750, 20054, 23802, 26890, 27948, 29847, 30792, 30969, 30997, 31023, 31050, 31075, 31101, 31797, 32659, 32806, 32871, 35144, 36368, 37083, 38219, 40972, 40997, 49924]"
national,26,"[1002, 5713, 8130, 13704, 16451, 19855, 19864, 19967, 31010, 31872, 37887, 37963, 38699, 41428, 41439, 41524, 41538, 41546, 41627, 41645, 41804, 41977, 43688, 46523, 46662, 46883]"
sources,26,"[633, 1176, 1649, 1753, 9314, 10801, 11730, 11857, 12373, 14930, 19327, 20448, 20840, 21074, 21573, 21625, 24655, 24671, 24870, 27669, 32390, 32501, 33837, 36180, 47966, 48872]"
economy,26,"[805, 844, 5350, 5579, 6203, 7143, 7209, 8304, 8801, 8812, 8873, 9647, 11259, 11325, 13599, 17695, 23424, 31978, 33075, 36996, 45329, 45391, 45412, 45808, 48637, 49207]"
sugar,26,"[1389, 7430, 7450, 7532, 7560, 7584, 12607, 12627, 12645, 12827, 12862, 12940, 17280, 17299, 17723, 17735, 18740, 18758, 18775, 18877, 18890, 18942, 18961, 18994, 19039, 19058]"
reuters,26,"[1868, 2592, 3342, 3988, 6575, 7652, 7752, 7981, 9705, 9810, 10662, 10712, 10808, 12513, 18782, 24074, 25909, 26360, 26388, 26549, 34393, 39025, 42549, 45871, 46454, 47957]"
says,26,"[901, 3305, 4178, 6747, 10005, 17272, 17291, 18682, 18700, 24344, 24352, 32896, 34219, 36666, 38203, 38527, 38539, 41009, 41027, 43653, 44036, 44054, 44194, 47763, 48558, 48588]"
div,26,"[4920, 14281, 18237, 18272, 18726, 23796, 23820, 23895, 26884, 29839, 29841, 30963, 30987, 31013, 31040, 31065, 31090, 31783, 32645, 32792, 35137, 38426, 40222, 40966, 40990, 49485]"
unit,26,"[2423, 6064, 6505, 8206, 13064, 21798, 22327, 22351, 27005, 27963, 27991, 34968, 35816, 40069, 40088, 40094, 41015, 41033, 41178, 41438, 41466, 43098, 43269, 43334, 47851, 47876]"
policy,25,"[3560, 8285, 8471, 8512, 13535, 13794, 13840, 29932, 32475, 32486, 32571, 36939, 40724, 41810, 45427, 45856, 46409, 46436, 47130, 47405, 48096, 49088, 49281, 49312, 49982]"
banks,25,"[3131, 3143, 3199, 3468, 3578, 3635, 3970, 4000, 6618, 9136, 9169, 17085, 17209, 34747, 34824, 34854, 42943, 46955, 47002, 47554, 47568, 47610, 48866, 49892, 49968]"
canadian,25,"[5733, 5766, 5914, 5946, 18466, 18473, 18510, 21569, 21950, 22025, 24288, 27642, 27651, 28329, 28357, 37248, 39246, 41663, 42209, 42278, 42335, 42372, 42380, 44700, 44817]"
estimated,25,"[1209, 2567, 5763, 9114, 9406, 13237, 15645, 17151, 20812, 20837, 21071, 22818, 23401, 24624, 25922, 28833, 37723, 40336, 42986, 44823, 45236, 46175, 46515, 47647, 47736]"
june,25,"[3406, 7588, 7893, 9505, 9672, 10197, 12495, 12819, 18734, 23804, 25164, 26895, 27027, 27418, 27665, 30945, 31801, 32880, 33831, 38049, 39563, 40976, 41000, 44945, 46578]"
rise,25,"[1118, 1437, 4510, 4906, 5147, 5644, 6274, 6452, 13021, 13095, 13104, 20198, 24368, 24809, 26574, 29953, 31225, 33043, 33110, 40718, 40739, 40802, 47103, 47207, 47325]"
nine,25,"[2270, 7035, 12076, 14469, 14838, 15365, 15952, 16383, 26885, 26888, 27496, 28177, 28263, 30489, 30561, 30586, 31574, 34635, 35134, 35179, 38119, 38122, 38315, 38484, 40003]"
capital,25,"[4821, 4900, 5838, 6237, 7925, 8069, 8275, 8783, 10628, 10979, 11763, 16724, 18092, 19807, 19949, 21823, 21928, 35744, 42169, 45553, 45741, 46867, 46997, 49770, 49957]"
acquisition,25,"[3876, 6043, 14516, 14529, 14557, 18399, 20292, 20303, 24103, 24204, 27546, 27558, 27608, 27624, 28605, 29937, 32147, 33577, 41711, 42101, 43058, 46660, 46708, 46822, 46911]"
sale,25,"[2301, 7908, 8737, 11862, 12434, 14399, 15842, 21952, 22325, 22335, 23513, 23547, 30741, 35507, 39507, 40103, 41477, 41544, 41562, 41588, 41602, 43380, 43389, 44680, 47785]"
federal,25,"[2848, 16684, 16755, 21681, 21764, 24964, 24990, 29777, 32929, 36679, 36927, 37617, 41754, 41851, 43298, 45306, 45375, 45425, 45448, 45460, 45558, 45666, 45798, 45964, 46023]"
general,25,"[606, 3972, 4626, 4831, 6199, 11169, 14737, 14813, 15065, 16598, 24483, 29868, 32365, 36541, 36556, 37044, 38540, 38552, 38577, 38644, 38685, 38815, 40801, 43796, 48026]"
avg,25,"[15352, 15397, 15779, 16918, 16968, 18323, 18369, 19389, 22420, 23873, 23946, 27919, 28166, 28211, 30662, 30712, 32235, 32279, 34130, 34174, 35168, 35209, 43468, 43514, 46373]"
companies,24,"[7604, 8706, 9076, 12401, 14411, 18525, 19876, 19910, 22531, 23090, 23127, 24222, 26726, 28360, 28629, 29790, 31288, 33525, 38157, 38202, 38335, 41714, 42279, 49582]"
monetary,24,"[11136, 13793, 13907, 17450, 20178, 21572, 35293, 36667, 36758, 36768, 36803, 36938, 37412, 45855, 47094, 47129, 47404, 47531, 47604, 49110, 49765, 49940, 49961, 49981]"
dlr,24,"[5492, 7850, 8432, 12101, 14025, 16990, 19821, 19836, 21951, 23703, 24177, 24194, 24465, 28592, 30826, 32897, 37140, 38101, 39273, 39730, 40788, 40907, 43114, 46178]"
south,24,"[440, 465, 480, 1616, 2145, 4498, 5183, 5192, 5282, 5301, 5348, 5428, 5471, 5517, 7399, 9853, 9865, 14897, 29692, 29809, 40238, 40246, 40320, 40418]"
export,24,"[665, 1363, 1405, 1574, 8963, 10845, 12839, 13712, 17737, 17872, 17920, 19047, 19062, 27804, 27810, 27857, 31869, 34773, 34787, 39485, 39502, 39588, 40539, 46393]"
department,24,"[1274, 1345, 2285, 2293, 7334, 7387, 31874, 35335, 37687, 39525, 39569, 39642, 39682, 40305, 40317, 40460, 40472, 41054, 41133, 44084, 44121, 44191, 44239, 45079]"
feb,24,"[14831, 15321, 15456, 15923, 16890, 18295, 18645, 19656, 22391, 24495, 26334, 27465, 27681, 28010, 28091, 29753, 30458, 30625, 32782, 34103, 35127, 43437, 43570, 43939]"
crop,24,"[9891, 12609, 12723, 12798, 18760, 18795, 18852, 20426, 20632, 20846, 20973, 21024, 21028, 21144, 21181, 21200, 24852, 25880, 25923, 25971, 26141, 33953, 33986, 34071]"
open,24,"[386, 1944, 2343, 2448, 3677, 4179, 4203, 4321, 4329, 7145, 11261, 16623, 29181, 29299, 33734, 36451, 42224, 42851, 46388, 46396, 47446, 48573, 48664, 49244]"
expects,23,"[1428, 10961, 12988, 14118, 15698, 16033, 16043, 16080, 17952, 29984, 30074, 34189, 34204, 34656, 36685, 38661, 39301, 39342, 42060, 43885, 44463, 48207, 48223]"
brazil,23,"[4506, 17002, 17030, 17055, 17176, 19592, 24880, 24934, 25247, 25299, 25306, 25588, 25634, 25727, 25866, 25875, 25957, 34190, 34205, 34605, 34698, 34707, 34817]"
domestic,23,"[1129, 2739, 3062, 7142, 7208, 8634, 8880, 9372, 11258, 11324, 13598, 22842, 28680, 29782, 36861, 42410, 45232, 46196, 47311, 47322, 47479, 48356, 49247]"
fiscal,23,"[853, 1201, 9502, 11553, 14235, 33249, 33288, 33350, 33357, 33548, 33595, 34438, 34451, 34459, 34492, 36303, 36338, 36949, 40114, 40182, 41926, 44167, 45351]"
shrs,23,"[15353, 15398, 15780, 16919, 16969, 18324, 18370, 19390, 22421, 23874, 27920, 28167, 28212, 30663, 30713, 32236, 32280, 34131, 34175, 35169, 35210, 43469, 43515]"
reserve,23,"[2849, 3606, 4801, 6659, 8469, 8494, 8541, 16685, 16756, 21682, 21735, 21746, 24965, 28238, 32930, 36680, 36928, 41755, 41852, 42125, 44303, 45449, 45799]"
operations,23,"[3854, 6478, 9274, 18058, 18086, 18106, 19981, 24335, 24362, 24382, 24597, 28681, 28715, 31369, 31515, 38696, 38834, 39097, 39112, 39445, 39753, 44502, 44566]"
seven,23,"[916, 922, 1399, 4107, 6581, 11668, 17048, 17394, 19445, 20885, 21584, 21660, 23307, 28140, 28232, 31711, 31754, 35302, 37436, 43112, 43801, 49027, 49064]"
non,23,"[13223, 17004, 17032, 18955, 19596, 25280, 25594, 25729, 25758, 26696, 26732, 26859, 31909, 34588, 34610, 37141, 40635, 41704, 42972, 44499, 47523, 47767, 48522]"
industrial,23,"[219, 1717, 4058, 4067, 4135, 4154, 4732, 6151, 6164, 14638, 14998, 17327, 21474, 22338, 22359, 27051, 28755, 37229, 37241, 42798, 42838, 48327, 49066]"
say,23,"[1813, 2176, 7030, 8834, 9227, 9315, 9354, 9509, 9587, 9655, 12748, 14420, 17380, 18832, 22623, 24226, 25441, 28634, 30144, 34303, 38255, 45293, 45748]"
sell,23,"[156, 9296, 9791, 10786, 11841, 16243, 16259, 17545, 27966, 27985, 28323, 29654, 36422, 39473, 40068, 40083, 41013, 41031, 41436, 41451, 41493, 44710, 44840]"
bankers,23,"[5152, 6552, 8831, 8870, 9116, 9224, 9353, 9508, 9516, 9567, 9586, 9654, 14325, 16994, 17007, 17100, 17149, 17167, 35245, 37238, 37314, 49715, 49728]"
annual,23,"[2482, 4889, 10190, 12542, 17445, 23267, 26214, 26407, 26598, 27412, 32974, 35479, 36311, 39703, 40603, 43189, 43327, 43834, 44025, 44353, 44361, 44373, 44406]"
operating,22,"[5840, 6585, 14196, 18122, 22662, 24281, 25510, 34403, 37111, 37185, 38730, 38869, 40580, 40588, 40637, 40658, 43093, 43291, 43323, 47443, 49552, 49564]"
much,22,"[635, 2685, 3656, 5274, 8978, 9059, 12726, 13096, 14422, 22712, 24839, 26093, 29442, 33033, 37789, 37919, 38733, 41779, 45960, 48609, 48953, 49911]"
agreed,22,"[2719, 2821, 5731, 13933, 15069, 18482, 24704, 24733, 26654, 27287, 28321, 32682, 38078, 39082, 45581, 45614, 45626, 46758, 47927, 49090, 49131, 49154]"
made,22,"[1931, 2181, 2757, 6537, 7846, 10812, 11647, 14393, 19202, 22900, 23008, 24166, 24912, 28684, 29743, 31647, 34263, 36045, 41483, 41685, 45975, 49808]"
term,22,"[106, 573, 597, 1035, 1054, 3720, 7942, 8780, 17027, 17070, 17224, 19420, 24860, 25296, 31533, 34602, 34722, 34871, 42539, 42552, 42968, 47283]"
income,22,"[6815, 9456, 9551, 17042, 17157, 23964, 25323, 25480, 25493, 25511, 25606, 26288, 31008, 31035, 31061, 31088, 34536, 34801, 42996, 43891, 44754, 49597]"
currency,22,"[5250, 6769, 7479, 7954, 8046, 8127, 8196, 8268, 8491, 8511, 11471, 17237, 17746, 17937, 19069, 19179, 19230, 19255, 31588, 41905, 49751, 49823]"
tender,22,"[3428, 3443, 7431, 7451, 7562, 7571, 12828, 12846, 12918, 14028, 14048, 16618, 16656, 16813, 17763, 19040, 25028, 27770, 27778, 27819, 49343, 49364]"
since,22,"[4544, 6204, 6627, 9475, 10309, 10515, 12672, 12707, 14389, 17536, 23303, 27845, 29630, 31442, 31543, 33716, 34506, 34748, 46405, 46765, 48848, 49397]"
energy,22,"[1036, 1055, 1069, 1085, 1142, 1159, 1174, 1189, 3313, 22433, 24408, 31902, 35642, 37093, 37103, 37175, 42810, 44223, 44241, 44720, 45062, 45078]"
cut,22,"[394, 3845, 5304, 9527, 14789, 25644, 30297, 30359, 30405, 30413, 32491, 34194, 34209, 36952, 45374, 45628, 45958, 49382, 49405, 49420, 49722, 49737]"
including,21,"[1178, 1377, 3245, 4646, 13766, 16342, 20594, 22052, 22257, 22349, 26314, 26867, 29322, 30048, 31290, 31931, 38808, 40092, 41288, 41716, 48958]"
budget,21,"[814, 9495, 9513, 9560, 9668, 17638, 45307, 45346, 45366, 45426, 45559, 45630, 45678, 45965, 46004, 46031, 46037, 46127, 46163, 46213, 49215]"
services,21,"[5011, 6185, 6814, 6906, 13063, 16344, 19875, 19935, 19939, 19984, 19994, 20028, 24409, 26438, 26523, 38898, 42704, 45768, 46247, 47074, 49253]"
however,21,"[1329, 5620, 11123, 17601, 18917, 20192, 20482, 20597, 24873, 28316, 28553, 28904, 28953, 37380, 38131, 41950, 44444, 44586, 44981, 49156, 49821]"
reduce,21,"[1005, 2633, 5506, 5590, 5678, 7211, 7280, 7292, 11327, 11396, 11408, 13115, 16512, 20184, 32416, 34623, 42994, 45470, 45658, 46782, 49176]"
higher,21,"[12971, 12997, 13276, 13350, 16034, 16055, 21088, 31110, 33034, 34662, 35696, 37008, 38562, 38734, 38762, 41145, 41877, 42842, 42881, 47309, 48863]"
largest,21,"[380, 754, 1533, 2095, 4275, 4455, 4524, 4593, 4739, 5546, 7626, 10160, 10181, 13077, 15278, 18774, 28390, 28614, 32169, 35526, 39335]"
countries,21,"[530, 721, 4438, 8172, 13260, 13890, 13912, 17328, 17362, 17434, 26505, 26528, 31984, 32029, 32086, 33881, 35303, 42295, 42401, 48150, 49067]"
gain,21,"[114, 6901, 15840, 22832, 23514, 23528, 23704, 24603, 24614, 25370, 30733, 30770, 30784, 30828, 30888, 30906, 32297, 32308, 36886, 38851, 41418]"
b,21,"[4859, 5814, 7684, 7720, 7778, 9984, 10001, 10904, 10937, 11020, 11061, 11091, 12362, 12507, 18905, 19668, 19712, 28292, 30940, 38905, 48198]"
still,21,"[1640, 1913, 3733, 3766, 5543, 9071, 9426, 13981, 14921, 20585, 22764, 26428, 27101, 31333, 33790, 34655, 38345, 38901, 39582, 41973, 46826]"
president,21,"[2588, 12145, 12462, 13486, 16070, 17402, 20167, 21511, 24148, 26268, 27201, 29364, 33510, 34386, 37339, 37514, 37960, 38966, 39771, 46421, 49785]"
half,20,"[823, 3865, 9300, 10205, 10259, 10285, 10337, 14861, 15886, 18743, 18746, 25779, 27660, 27664, 30676, 30790, 30815, 30818, 35257, 35749]"
steel,20,"[10718, 10725, 10745, 10767, 10788, 10805, 10834, 10859, 10883, 23397, 38520, 38532, 42175, 42183, 42210, 42232, 42306, 42336, 42397, 42411]"
months,20,"[244, 2010, 2028, 5446, 6254, 7966, 8548, 14219, 15136, 17437, 19475, 25345, 26807, 27713, 27749, 28039, 30061, 39132, 40268, 42361]"
surplus,20,"[340, 361, 485, 5191, 5197, 5254, 5307, 5362, 5394, 5413, 5479, 5501, 5635, 5647, 5673, 5693, 9414, 14792, 32492, 39476]"
likely,20,"[1841, 2066, 3603, 3691, 6684, 7517, 9761, 9874, 9930, 13200, 14441, 15224, 24639, 25882, 30107, 30436, 33928, 33963, 34222, 34238]"
german,20,"[6150, 6163, 13510, 13522, 13664, 17315, 17653, 17703, 21504, 31405, 31450, 31467, 33622, 35261, 37273, 42000, 47028, 49714, 49741, 49843]"
tariffs,20,"[130, 173, 232, 258, 396, 4629, 7158, 10426, 10598, 11274, 14740, 29176, 29201, 29264, 29369, 32368, 34232, 34295, 34338, 48029]"
supply,20,"[1056, 1143, 1175, 10504, 13614, 13751, 13856, 21693, 22671, 22932, 25009, 29619, 36528, 36539, 36696, 36786, 37763, 37951, 44136, 45724]"
high,20,"[1404, 4118, 5922, 6318, 7939, 8043, 8122, 9305, 10122, 16117, 17110, 23345, 29196, 30173, 31612, 32399, 32904, 34227, 34917, 42206]"
bundesbank,20,"[3420, 3430, 3520, 3541, 3589, 3614, 3650, 3701, 13485, 13746, 17401, 17541, 21510, 37338, 46941, 46947, 47436, 49755, 49848, 49933]"
long,20,"[98, 1033, 1052, 1815, 8779, 17025, 17068, 19418, 23241, 23411, 25294, 31532, 32939, 32999, 34600, 34720, 38986, 42966, 43411, 45466]"
plan,19,"[10751, 10886, 20086, 23709, 27395, 27409, 27955, 38162, 41491, 44677, 44746, 44889, 44939, 44955, 44971, 45371, 46164, 48064, 48561]"
australia,19,"[740, 750, 1624, 2348, 4345, 4452, 6129, 6443, 7819, 7998, 8131, 8152, 8261, 8422, 8481, 8791, 10166, 14905, 47632]"
issue,19,"[4721, 4774, 4796, 4815, 9981, 9998, 10909, 10934, 10951, 10987, 11094, 11108, 12152, 31972, 31989, 32013, 33940, 43046, 48020]"
proposed,19,"[809, 6917, 11860, 14718, 15132, 19285, 22234, 22245, 27314, 27368, 32709, 35390, 38096, 39960, 40783, 42421, 44897, 44953, 44968]"
buy,19,"[3492, 4373, 7830, 7853, 10744, 11706, 12322, 22561, 22649, 23306, 24262, 24781, 28859, 35812, 35874, 36573, 39604, 39647, 46760]"
producers,19,"[525, 12646, 13191, 20414, 20492, 20574, 21153, 22954, 24663, 24703, 24907, 24929, 32496, 36839, 36895, 37032, 41139, 42903, 43717]"
output,19,"[959, 1461, 4059, 4068, 4136, 9303, 9689, 9707, 9759, 9861, 9919, 10754, 10860, 13188, 18836, 18943, 24945, 37579, 45234]"
february,19,"[6259, 7322, 13919, 14259, 17073, 17354, 17537, 21256, 21654, 25314, 32590, 33717, 34725, 34749, 43532, 45566, 47657, 47686, 47715]"
includes,19,"[4994, 15824, 23510, 23543, 23578, 23616, 23631, 24567, 24601, 24922, 28229, 30732, 30759, 30795, 30820, 33371, 41256, 42096, 44702]"
fed,19,"[2883, 21674, 21708, 24337, 24343, 24345, 24351, 24957, 24983, 25003, 32900, 32992, 36519, 36530, 36662, 41782, 45720, 45750, 45849]"
recent,19,"[1508, 3242, 6253, 8547, 8716, 8736, 9384, 14352, 14405, 16458, 28931, 29534, 33042, 42360, 44999, 45694, 46511, 47040, 49134]"
traders,19,"[1495, 2077, 2274, 4378, 7488, 7590, 12824, 12875, 12910, 17778, 17830, 17858, 19082, 27813, 29604, 29942, 31451, 36156, 40771]"
ec,19,"[6943, 6959, 6987, 6997, 7037, 7063, 7429, 7447, 12826, 12833, 17273, 17292, 17722, 17761, 19036, 19042, 33844, 33867, 33910]"
merger,18,"[2500, 2529, 2630, 2703, 3247, 14077, 14540, 22237, 27384, 27424, 28406, 29047, 29757, 29767, 44666, 48479, 48519, 48560]"
australian,18,"[679, 1603, 7701, 7793, 7809, 7913, 7916, 8185, 8368, 8552, 8577, 8607, 10091, 10228, 12644, 14888, 47627, 49646]"
ago,18,"[1269, 1658, 7427, 9279, 12065, 14169, 14939, 17438, 33206, 36412, 38642, 38738, 38773, 42370, 44661, 45013, 45059, 45256]"
takeover,18,"[14353, 16604, 16717, 16727, 16780, 23002, 24273, 28269, 28280, 28421, 28428, 28484, 28570, 28890, 28907, 35895, 36132, 38102]"
yesterday,18,"[794, 1625, 6067, 6078, 7002, 7022, 10140, 10665, 11530, 11743, 13142, 14906, 20432, 21783, 26710, 29961, 34914, 49052]"
system,18,"[1946, 3576, 5180, 9057, 11629, 18924, 24340, 24348, 24978, 25015, 37496, 37629, 43409, 47532, 47543, 47605, 48821, 48856]"
period,18,"[4084, 5278, 8694, 16089, 16615, 16653, 20569, 21737, 22574, 25382, 30388, 33207, 38087, 43530, 44479, 45056, 45092, 45994]"
acquired,18,"[14349, 16528, 18405, 18624, 19416, 19470, 19870, 19907, 22372, 26904, 26920, 28355, 28475, 38573, 39239, 41202, 42006, 43982]"
bid,18,"[3471, 7597, 7774, 7851, 10011, 11690, 12421, 14010, 14391, 14614, 23723, 23732, 24031, 24178, 28582, 39486, 39499, 46746]"
european,18,"[1454, 3141, 6956, 7444, 7478, 7524, 12830, 13889, 17709, 17745, 17758, 17936, 19068, 31391, 33841, 35292, 37411, 47225]"
fell,18,"[1331, 5525, 7311, 10210, 13393, 20486, 21339, 24771, 25264, 25575, 28430, 35454, 39401, 44284, 45025, 45163, 45206, 49973]"
problems,18,"[412, 2789, 7230, 7245, 11346, 11361, 25871, 25873, 25955, 26022, 26722, 33447, 33462, 33478, 40688, 45892, 47193, 47495]"
stake,18,"[4878, 10605, 13079, 21857, 24020, 24264, 26613, 28465, 28477, 31295, 33713, 36231, 39242, 39812, 39834, 44683, 44714, 48456]"
security,18,"[3671, 7259, 11375, 19874, 19917, 19929, 19938, 19983, 19993, 20008, 31976, 34187, 34202, 34578, 34591, 34651, 34794, 44807]"
meet,18,"[886, 1063, 9677, 9686, 13587, 16753, 19191, 32107, 32350, 32509, 32528, 32569, 32595, 34278, 36333, 41843, 44470, 44582]"
compared,18,"[3824, 6856, 9244, 11561, 12898, 13042, 13234, 13317, 16001, 20985, 21295, 25335, 25676, 25707, 30005, 34065, 35583, 47253]"
germany,18,"[13581, 13676, 13692, 13786, 13817, 17569, 17799, 18414, 19104, 37323, 41197, 41838, 42032, 42596, 45613, 47318, 47332, 49037]"
owned,18,"[2400, 7811, 7873, 12354, 12453, 13362, 14461, 14604, 27103, 27327, 30283, 32722, 35542, 39003, 39080, 39221, 39743, 42486]"
burlington,18,"[23725, 23734, 23996, 24022, 24228, 24235, 28382, 28411, 28433, 28479, 28507, 28540, 28636, 28661, 28677, 28758, 28860, 29011]"
later,18,"[2048, 4218, 6331, 6652, 9846, 13195, 16853, 17396, 20170, 20465, 20604, 20777, 32504, 32554, 33869, 34831, 37415, 48000]"
textile,18,"[427, 23719, 23728, 24008, 24097, 24147, 24163, 24221, 24250, 24277, 24334, 28395, 28615, 28628, 29006, 29685, 29784, 29822]"
results,18,"[6357, 13456, 14197, 30065, 30078, 32853, 34372, 34399, 37088, 38559, 38567, 38677, 38690, 39722, 40589, 43292, 44363, 44662]"
full,18,"[6930, 17153, 20073, 26375, 29417, 30118, 30149, 33893, 34308, 37190, 37429, 39756, 40127, 41970, 42524, 42699, 47488, 49533]"
electric,17,"[218, 1130, 1197, 16266, 16318, 29869, 36542, 36557, 37045, 38541, 38553, 38578, 38645, 38686, 38816, 42910, 43985]"
revenues,17,"[9521, 19881, 21872, 24414, 26576, 27177, 30043, 34788, 35534, 37192, 38759, 38798, 38867, 39343, 39379, 39396, 43161]"
finance,17,"[3115, 17316, 21505, 21517, 21534, 21629, 27941, 32539, 34531, 35241, 35262, 37249, 37290, 37310, 45556, 48830, 49057]"
