frequency,total,recalls,recall_probability,need_odds,unique_words
11,1898,47,0.02476290832455216,0.025391680172879526,"['trade' 'percent' 'said' 'exchange' 'japan' 'u' 'million' 'oil' 'shares'
 'cents' 'dollars' 'would' 'proxmire' 'vs' 'price' 'net' 'may' 'ual'
 'chrysler' 'loss' 'dome' 'deficit' 'stg']"
12,1037,24,0.023143683702989394,0.023692003948667325,"['percent' 'said' 'japan' 'u' 'million' 'oil' 'would' 'vs' 'dollars'
 'cents' 'ual' 'dome' 'stg']"
13,536,16,0.029850746268656716,0.030769230769230767,['percent' 'u' 'vs' 'million' 'said' 'would' 'dollars' 'cents' 'stg']
14,431,14,0.03248259860788863,0.03357314148681055,['u' 'million' 'vs' 'dollars' 'cents' 'stg']
15,237,11,0.046413502109704644,0.048672566371681415,['u' 'million' 'vs' 'dollars' 'cents']
16,192,7,0.036458333333333336,0.03783783783783784,['u' 'million' 'vs' 'dollars' 'cents']
17,179,6,0.0335195530726257,0.03468208092485549,['u' 'million' 'dollars' 'vs' 'cents']
18,78,5,0.0641025641025641,0.0684931506849315,['u' 'million' 'dollars' 'vs']
19,98,3,0.030612244897959183,0.031578947368421054,['million' 'dollars' 'vs']
20,102,3,0.029411764705882353,0.030303030303030304,['million' 'dollars' 'vs']
21,118,4,0.03389830508474576,0.03508771929824561,['million' 'dollars' 'vs']
22,109,10,0.09174311926605505,0.10101010101010102,['million' 'vs' 'dollars']
23,99,3,0.030303030303030304,0.03125,['million' 'vs' 'dollars']
24,102,0,0.0,0.0,['million']
25,52,0,0.0,0.0,['million']
26,22,0,0.0,0.0,['million']
27,2,0,0.0,0.0,['million']
